종목명,종목코드,현재가,시가총액,매출성장률,순이익률,부채비율,PER,PBR,평가점수,종합평가,평가이유
동화약품,000020,6180,172616484600.0,6.081081081081082,7.809471060648019,38.78653893392287,31.3848,0.4246,50,보통,매출 성장률이 6.08%로 양호함; 순이익률이 7.81%로 양호함; 부채비율이 38.79%로 안정적임; PER이 31.38로 고평가 가능성; PBR이 0.42로 저평가 가능성
KR모터스,000040,396,23812615728.0,-33.04867634500427,-26.785714285714285,518.75,-1.5982,0.9729,30,주의 필요,매출 성장률이 -33.05%로 저조함; 순이익률이 -26.79%로 개선 필요; 부채비율이 518.75%로 높음; PER이 -1.60로 저평가 가능성; PBR이 0.97로 적정 수준
경방,000050,6580,180392476600.0,0.9656925031766201,5.940095645607853,59.86045286993155,7.6115,0.2422,70,좋음,매출 성장률이 0.97%로 양호함; 순이익률이 5.94%로 양호함; 부채비율이 59.86%로 안정적임; PER이 7.61로 적정 수준; PBR이 0.24로 저평가 가능성
삼양홀딩스,000070,60300,516425541300.0,-3.1928364688856727,7.069668940172537,83.67959949937422,4.6358,0.1794,50,보통,매출 성장률이 -3.19%로 저조함; 순이익률이 7.07%로 양호함; 부채비율이 83.68%로 안정적임; PER이 4.64로 저평가 가능성; PBR이 0.18로 저평가 가능성
삼양홀딩스우,000075,59400,18061045200.0,,,,,,0,주의 필요,
하이트진로,000080,19270,1351474683970.0,3.1346718514403618,3.681902123730379,199.39103958242714,14.1073,1.1942,60,좋음,매출 성장률이 3.13%로 양호함; 순이익률이 3.68%로 개선 필요; 부채비율이 199.39%로 보통 수준; PER이 14.11로 적정 수준; PBR이 1.19로 적정 수준
하이트진로2우B,000087,15200,17178097600.0,,,,,,0,주의 필요,
유한양행,000100,124800,10010091187200.0,11.231845077998925,2.66950382048554,36.79732180220394,181.6713,4.6946,40,보통,매출 성장률이 11.23%로 우수함; 순이익률이 2.67%로 개선 필요; 부채비율이 36.80%로 안정적임; PER이 181.67로 고평가 가능성; PBR이 4.69로 고평가 가능성
유한양행우,000105,109500,129312930000.0,,,,,,0,주의 필요,
CJ대한통운,000120,90400,2062235897600.0,-2.990758983405739,2.0640895996736885,131.4461675447058,8.1415,0.5179,50,보통,매출 성장률이 -2.99%로 저조함; 순이익률이 2.06%로 개선 필요; 부채비율이 131.45%로 보통 수준; PER이 8.14로 적정 수준; PBR이 0.52로 적정 수준
하이트진로홀딩스,000140,8530,197953705450.0,3.119390482268938,3.5124366562221967,253.2051282051282,2.1801,0.1745,30,주의 필요,매출 성장률이 3.12%로 양호함; 순이익률이 3.51%로 개선 필요; 부채비율이 253.21%로 높음; PER이 2.18로 저평가 가능성; PBR이 0.17로 저평가 가능성
하이트진로홀딩스우,000145,10180,4792845800.0,,,,,,0,주의 필요,
두산,000150,342000,5651151570000.0,12.557808399722283,1.4223658004924178,152.40971918584418,24.994,0.4884,40,보통,매출 성장률이 12.56%로 우수함; 순이익률이 1.42%로 개선 필요; 부채비율이 152.41%로 보통 수준; PER이 24.99로 고평가 가능성; PBR이 0.49로 저평가 가능성
두산우,000155,152300,608661162600.0,,,,,,0,주의 필요,
두산2우B,000157,139000,124132282000.0,,,,,,0,주의 필요,
성창기업지주,000180,1303,90886334800.0,-26.9010989010989,-14.431749849669274,34.15314843886272,-12.4502,0.1576,40,보통,매출 성장률이 -26.90%로 저조함; 순이익률이 -14.43%로 개선 필요; 부채비율이 34.15%로 안정적임; PER이 -12.45로 저평가 가능성; PBR이 0.16로 저평가 가능성
DL,000210,35000,733455940000.0,-3.013317355084369,-2.4114153613137232,167.34018617373275,6.8611,0.1603,40,보통,매출 성장률이 -3.01%로 저조함; 순이익률이 -2.41%로 개선 필요; 부채비율이 167.34%로 보통 수준; PER이 6.86로 적정 수준; PBR이 0.16로 저평가 가능성
DL우,000215,19300,32542019500.0,,,,,,0,주의 필요,
유유제약,000220,4420,75282991420.0,-1.2239020878329734,-4.0087463556851315,64.70099667774086,7.2387,0.5957,60,좋음,매출 성장률이 -1.22%로 저조함; 순이익률이 -4.01%로 개선 필요; 부채비율이 64.70%로 안정적임; PER이 7.24로 적정 수준; PBR이 0.60로 적정 수준
유유제약1우,000225,4795,10869929350.0,,,,,,0,주의 필요,
유유제약2우B,000227,9590,3122120400.0,,,,,,0,주의 필요,
일동홀딩스,000230,6140,70858056000.0,-5.492227979274611,-18.60902255639098,416.1859917598587,-1.8405,0.4344,20,주의 필요,매출 성장률이 -5.49%로 저조함; 순이익률이 -18.61%로 개선 필요; 부채비율이 416.19%로 높음; PER이 -1.84로 저평가 가능성; PBR이 0.43로 저평가 가능성
한국앤컴퍼니,000240,16110,1529406716400.0,-0.5657450497308149,17.179040102780583,15.542609604899543,4.1268,0.3661,60,좋음,매출 성장률이 -0.57%로 저조함; 순이익률이 17.18%로 우수함; 부채비율이 15.54%로 안정적임; PER이 4.13로 저평가 가능성; PBR이 0.37로 저평가 가능성
삼천당제약,000250,191400,4489760140800.0,8.685843203609702,-2.179553710430721,36.71691792294807,419.6038,13.6925,30,주의 필요,매출 성장률이 8.69%로 양호함; 순이익률이 -2.18%로 개선 필요; 부채비율이 36.72%로 안정적임; PER이 419.60로 고평가 가능성; PBR이 13.69로 고평가 가능성
기아,000270,99500,39568426884000.0,7.65506710858004,9.097356136131813,66.10924368243008,4.0479,0.7675,70,좋음,매출 성장률이 7.66%로 양호함; 순이익률이 9.10%로 양호함; 부채비율이 66.11%로 안정적임; PER이 4.05로 저평가 가능성; PBR이 0.77로 적정 수준
DH오토넥스,000300,1984,161600154944.0,-29.681274900398407,-478.7535410764873,-144.602048857368,-1.3753,-1.2042,40,보통,매출 성장률이 -29.68%로 저조함; 순이익률이 -478.75%로 개선 필요; 부채비율이 -144.60%로 안정적임; PER이 -1.38로 저평가 가능성; PBR이 -1.20로 저평가 가능성
노루홀딩스,000320,14030,186474848530.0,2.7501029230135856,6.579052808718647,57.31675731675732,2.2713,0.2536,60,좋음,매출 성장률이 2.75%로 양호함; 순이익률이 6.58%로 양호함; 부채비율이 57.32%로 안정적임; PER이 2.27로 저평가 가능성; PBR이 0.25로 저평가 가능성
노루홀딩스우,000325,28000,6819652000.0,,,,,,0,주의 필요,
한화손해보험,000370,4105,479213246075.0,,,441.4340367027318,1.5826,0.1554,20,주의 필요,부채비율이 441.43%로 높음; PER이 1.58로 저평가 가능성; PBR이 0.16로 저평가 가능성
삼화페인트,000390,6220,169205577180.0,-0.4909724421919544,2.4669743752984243,87.89441747572816,10.9165,0.5358,60,좋음,매출 성장률이 -0.49%로 저조함; 순이익률이 2.47%로 개선 필요; 부채비율이 87.89%로 안정적임; PER이 10.92로 적정 수준; PBR이 0.54로 적정 수준
롯데손해보험,000400,1839,570708492480.0,,,1081.579366342939,4.6286,0.5454,30,주의 필요,부채비율이 1081.58%로 높음; PER이 4.63로 저평가 가능성; PBR이 0.55로 적정 수준
대원강업,000430,3655,226610000000.0,23.56342609324178,2.3325533781807546,91.23348017621146,7.1038,0.3406,70,좋음,매출 성장률이 23.56%로 우수함; 순이익률이 2.33%로 개선 필요; 부채비율이 91.23%로 안정적임; PER이 7.10로 적정 수준; PBR이 0.34로 저평가 가능성
중앙에너비스,000440,13980,87055277400.0,-10.27027027027027,-1.8072289156626504,7.142857142857142,-108.8191,1.5908,50,보통,매출 성장률이 -10.27%로 저조함; 순이익률이 -1.81%로 개선 필요; 부채비율이 7.14%로 안정적임; PER이 -108.82로 저평가 가능성; PBR이 1.59로 적정 수준
CR홀딩스,000480,5310,248988501900.0,-0.7467254253886645,0.30833744449926,96.92611066001623,99.5954,0.2991,30,주의 필요,매출 성장률이 -0.75%로 저조함; 순이익률이 0.31%로 개선 필요; 부채비율이 96.93%로 안정적임; PER이 99.60로 고평가 가능성; PBR이 0.30로 저평가 가능성
대동,000490,12200,312817613600.0,-2.070096331215413,0.8301939444676991,239.00537168601628,-8.0831,0.5017,30,주의 필요,매출 성장률이 -2.07%로 저조함; 순이익률이 0.83%로 개선 필요; 부채비율이 239.01%로 높음; PER이 -8.08로 저평가 가능성; PBR이 0.50로 적정 수준
가온전선,000500,53900,891673898500.0,5.795975997176138,1.1944481516081675,142.2356495468278,44.5837,2.5645,20,주의 필요,매출 성장률이 5.80%로 양호함; 순이익률이 1.19%로 개선 필요; 부채비율이 142.24%로 보통 수준; PER이 44.58로 고평가 가능성; PBR이 2.56로 고평가 가능성
삼일제약,000520,12330,267460029630.0,11.920529801324504,-2.548930359581247,124.30437251561612,-47.7607,1.5687,60,좋음,매출 성장률이 11.92%로 우수함; 순이익률이 -2.55%로 개선 필요; 부채비율이 124.30%로 보통 수준; PER이 -47.76로 저평가 가능성; PBR이 1.57로 적정 수준
흥국화재,000540,3265,209752235925.0,,,784.221356654663,0.5884,0.1959,20,주의 필요,부채비율이 784.22%로 높음; PER이 0.59로 저평가 가능성; PBR이 0.20로 저평가 가능성
흥국화재우,000545,5280,4055040000.0,,,,,,0,주의 필요,
CS홀딩스,000590,72100,83238152200.0,-1.8824871648602397,12.848837209302324,10.570276497695852,3.2388,0.2347,60,좋음,매출 성장률이 -1.88%로 저조함; 순이익률이 12.85%로 우수함; 부채비율이 10.57%로 안정적임; PER이 3.24로 저평가 가능성; PBR이 0.23로 저평가 가능성
동아쏘시오홀딩스,000640,99800,633621517400.0,11.538082569711301,4.938162544169612,90.50910152827801,11.5414,0.6081,80,매우 좋음,매출 성장률이 11.54%로 우수함; 순이익률이 4.94%로 개선 필요; 부채비율이 90.51%로 안정적임; PER이 11.54로 적정 수준; PBR이 0.61로 적정 수준
천일고속,000650,38900,55596658000.0,,,,,,0,주의 필요,
SK하이닉스,000660,204500,148876483642500.0,,,,,,0,주의 필요,
영풍,000670,484500,892468380000.0,,,,,,0,주의 필요,
LS네트웍스,000680,4255,335306833080.0,,,,,,0,주의 필요,
유수홀딩스,000700,5480,142709129760.0,,,,,,0,주의 필요,
현대건설,000720,32600,3630197939000.0,,,,,,0,주의 필요,
현대건설우,000725,48350,50994406550.0,,,,,,0,주의 필요,
이화산업,000760,10360,29008000000.0,,,,,,0,주의 필요,
삼성화재,000810,377000,17860313549000.0,,,,,,0,주의 필요,
삼성화재우,000815,289000,922488000000.0,,,,,,0,주의 필요,
화천기공,000850,28300,62260000000.0,,,,,,0,주의 필요,
강남제비스코,000860,24100,156650000000.0,,,,,,0,주의 필요,
한화,000880,46050,3451849746750.0,,,,,,0,주의 필요,
한화우,000885,40900,8140449700.0,,,,,,0,주의 필요,
한화3우B,00088K,19160,371789089560.0,,,,,,0,주의 필요,
보해양조,000890,434,60378135986.0,,,,,,0,주의 필요,
유니온,000910,5360,83678277840.0,,,,,,0,주의 필요,
전방,000950,19520,32793600000.0,,,,,,0,주의 필요,
한국주철관,000970,6240,142275120000.0,,,,,,0,주의 필요,
DB하이텍,000990,44700,1984616883600.0,,,,,,0,주의 필요,
신라섬유,001000,912,22141116480.0,,,,,,0,주의 필요,
페이퍼코리아,001020,694,123520419222.0,,,,,,0,주의 필요,
CJ,001040,127800,3728820344400.0,,,,,,0,주의 필요,
CJ우,001045,65900,148948695700.0,,,,,,0,주의 필요,
CJ4우(전환),00104K,97200,410816966400.0,,,,,,0,주의 필요,
JW중외제약,001060,22150,515783349500.0,,,,,,0,주의 필요,
JW중외제약우,001065,28100,9608823100.0,,,,,,0,주의 필요,
JW중외제약2우B,001067,60600,12724363800.0,,,,,,0,주의 필요,
대한방직,001070,5260,27878000000.0,,,,,,0,주의 필요,
만호제강,001080,25350,105202500000.0,,,,,,0,주의 필요,
LX인터내셔널,001120,25550,990318000000.0,,,,,,0,주의 필요,
대한제분,001130,129500,218855000000.0,,,,,,0,주의 필요,
국보,001140,2110,33456978680.0,,,,,,0,주의 필요,
유진투자증권,001200,2565,248462362170.0,,,,,,0,주의 필요,
금호전기,001210,701,40288542857.0,,,,,,0,주의 필요,
동국홀딩스,001230,7620,242319680460.0,,,,,,0,주의 필요,
GS글로벌,001250,2615,215825792860.0,,,,,,0,주의 필요,
남광토건,001260,8230,80922067560.0,,,,,,0,주의 필요,
부국증권,001270,26800,277912944800.0,,,,,,0,주의 필요,
부국증권우,001275,21900,65700000000.0,,,,,,0,주의 필요,
상상인증권,001290,420,45501590400.0,,,,,,0,주의 필요,
백광산업,001340,6900,309937008300.0,,,,,,0,주의 필요,
삼성제약,001360,1577,148493598583.0,,,,,,0,주의 필요,
SG글로벌,001380,2995,134667608285.0,,,,,,0,주의 필요,
KG케미칼,001390,3900,267029256000.0,,,,,,0,주의 필요,
태원물산,001420,3510,26676000000.0,,,,,,0,주의 필요,
세아베스틸지주,001430,20050,719035485950.0,,,,,,0,주의 필요,
대한전선,001440,13010,2425679373000.0,,,,,,0,주의 필요,
현대해상,001450,22950,2051730000000.0,,,,,,0,주의 필요,
BYC,001460,27150,169582972500.0,,,,,,0,주의 필요,
BYC우,001465,12530,26987740500.0,,,,,,0,주의 필요,
삼부토건,001470,451,103586502624.0,,,,,,0,주의 필요,
현대차증권,001500,6220,197252135640.0,,,,,,0,주의 필요,
SK증권,001510,468,221172200028.0,,,,,,0,주의 필요,
SK증권우,001515,1729,6764736706.0,,,,,,0,주의 필요,
동양,001520,615,146790698745.0,,,,,,0,주의 필요,
동양우,001525,4660,2878626460.0,,,,,,0,주의 필요,
동양2우B,001527,8390,2588893910.0,,,,,,0,주의 필요,
DI동일,001530,45800,887183510200.0,,,,,,0,주의 필요,
안국약품,001540,6560,85558275200.0,,,,,,0,주의 필요,
조비,001550,10440,54206975160.0,,,,,,0,주의 필요,
제일연마,001560,8990,89001000000.0,,,,,,0,주의 필요,
금양,001570,13430,859079442280.0,,,,,,0,주의 필요,
케이비아이동국실업,001620,490,54533585190.0,,,,,,0,주의 필요,
종근당홀딩스,001630,43150,216175502150.0,,,,,,0,주의 필요,
대상,001680,24400,845411810000.0,,,,,,0,주의 필요,
대상우,001685,17510,23992604730.0,,,,,,0,주의 필요,
신영증권,001720,79600,1308624000000.0,,,,,,0,주의 필요,
SK네트웍스,001740,4305,952601368110.0,,,,,,0,주의 필요,
한양증권,001750,11510,146505426340.0,,,,,,0,주의 필요,
한양증권우,001755,12160,6384000000.0,,,,,,0,주의 필요,
SHD,001770,14760,17931599280.0,,,,,,0,주의 필요,
알루코,001780,2210,213994591720.0,,,,,,0,주의 필요,
대한제당,001790,2720,243974697600.0,,,,,,0,주의 필요,
대한제당우,001795,2280,14780692800.0,,,,,,0,주의 필요,
오리온홀딩스,001800,15120,947198780640.0,,,,,,0,주의 필요,
무림SP,001810,1426,31568075000.0,,,,,,0,주의 필요,
삼화콘덴서,001820,28050,291579750000.0,,,,,,0,주의 필요,
이화공영,001840,1853,41291577508.0,,,,,,0,주의 필요,
KISCO홀딩스,001940,19840,281259379200.0,,,,,,0,주의 필요,
코오롱,002020,24950,315029328700.0,,,,,,0,주의 필요,
코오롱우,002025,15330,16501058700.0,,,,,,0,주의 필요,
아세아,002030,266500,559539136000.0,,,,,,0,주의 필요,
비비안,002070,783,23328694170.0,,,,,,0,주의 필요,
경농,002100,9110,177850658250.0,,,,,,0,주의 필요,
고려산업,002140,2790,69580995750.0,,,,,,0,주의 필요,
도화엔지니어링,002150,6660,224575200000.0,,,,,,0,주의 필요,
삼양통상,002170,47100,141300000000.0,,,,,,0,주의 필요,
한국수출포장,002200,2745,109800000000.0,,,,,,0,주의 필요,
동성제약,002210,3915,102185297550.0,,,,,,0,주의 필요,
한일철강,002220,1855,49523788300.0,,,,,,0,주의 필요,
피에스텍,002230,3865,74867651145.0,,,,,,0,주의 필요,
고려제강,002240,17770,479790000000.0,,,,,,0,주의 필요,
삼일기업공사,002290,3920,48608000000.0,,,,,,0,주의 필요,
아세아제지,002310,7210,308461897100.0,,,,,,0,주의 필요,
한진,002320,19400,289983983200.0,,,,,,0,주의 필요,
넥센타이어,002350,5360,523499820720.0,,,,,,0,주의 필요,
넥센타이어1우B,002355,2870,18655000000.0,,,,,,0,주의 필요,
SH에너지화학,002360,482,53566457860.0,,,,,,0,주의 필요,
KCC,002380,284000,2523757764000.0,,,,,,0,주의 필요,
한독,002390,11430,157317182190.0,,,,,,0,주의 필요,
범양건영,002410,2045,56196231900.0,,,,,,0,주의 필요,
세기상사,002420,5130,28516890240.0,,,,,,0,주의 필요,
삼익악기,002450,1164,105377985060.0,,,,,,0,주의 필요,
HS화성,002460,9700,98455000000.0,,,,,,0,주의 필요,
조흥,002600,165400,99240000000.0,,,,,,0,주의 필요,
제일파마홀딩스,002620,7400,118202827000.0,,,,,,0,주의 필요,
오리엔트바이오,002630,1506,178586005530.0,,,,,,0,주의 필요,
한탑,002680,799,25821122401.0,,,,,,0,주의 필요,
동일제강,002690,1254,25456651440.0,,,,,,0,주의 필요,
신일전자,002700,1461,103800428181.0,,,,,,0,주의 필요,
TCC스틸,002710,27350,716944612950.0,,,,,,0,주의 필요,
국제약품,002720,4785,101249796120.0,,,,,,0,주의 필요,
보락,002760,1077,64512300000.0,,,,,,0,주의 필요,
진흥기업,002780,784,114049848080.0,,,,,,0,주의 필요,
진흥기업우B,002785,3110,2665947980.0,,,,,,0,주의 필요,
진흥기업2우B,002787,9680,2853741440.0,,,,,,0,주의 필요,
아모레G,002790,21450,1704377961000.0,,,,,,0,주의 필요,
아모레G우,002795,9180,59153808600.0,,,,,,0,주의 필요,
아모레G3우(전환),00279K,18030,127872366000.0,,,,,,0,주의 필요,
신신제약,002800,5230,79341715000.0,,,,,,0,주의 필요,
삼영무역,002810,13520,249673136960.0,,,,,,0,주의 필요,
SUN&L,002820,2810,35428449090.0,,,,,,0,주의 필요,
미원상사,002840,181700,863075000000.0,,,,,,0,주의 필요,
신풍,002870,1324,46285318800.0,,,,,,0,주의 필요,
대유에이텍,002880,968,45248211360.0,,,,,,0,주의 필요,
