"종목코드","종목명","시장구분","종가","시가총액","기준일","EPS","선행EPS","BPS","주당배당금","종목구분"
"000020","동화약품","KOSPI","6190","172895799300.0","20250317","991.0","","13413.0","180.0","보통주"
"000040","KR모터스","KOSPI","388","23331552784.0","20250317","","","618.0","0.0","보통주"
"000050","경방","KOSPI","6590","180666629300.0","20250317","","","29623.0","125.0","보통주"
"000070","삼양홀딩스","KOSPI","60100","514712687100.0","20250317","22269.0","","257475.0","3500.0","보통주"
"000075","삼양홀딩스우","KOSPI","59300","18030639400.0","20250317","","","","3550.0","우선주"
"000080","하이트진로","KOSPI","19420","1361994725620.0","20250317","512.0","1857.0","15694.0","950.0","보통주"
"000087","하이트진로2우B","KOSPI","15230","17212001740.0","20250317","","","","1000.0","우선주"
"000100","유한양행","KOSPI","125700","10082279344800.0","20250317","1815.0","1963.0","27491.0","450.0","보통주"
"000105","유한양행우","KOSPI","110800","130848152000.0","20250317","","","","460.0","우선주"
"000120","CJ대한통운","KOSPI","89500","2041704788000.0","20250317","10357.0","13257.0","180690.0","500.0","보통주"
"000140","하이트진로홀딩스","KOSPI","8580","199114043700.0","20250317","41.0","","24228.0","550.0","보통주"
"000145","하이트진로홀딩스우","KOSPI","10190","4797553900.0","20250317","","","","600.0","우선주"
"000150","두산","KOSPI","338000","5585056230000.0","20250317","","10167.0","91241.0","2000.0","보통주"
"000155","두산우","KOSPI","149500","597471069000.0","20250317","","","","2050.0","우선주"
"000157","두산2우B","KOSPI","137000","122346206000.0","20250317","","","","2000.0","우선주"
"000180","성창기업지주","KOSPI","1294","90258570400.0","20250317","","","9003.0","0.0","보통주"
"000210","DL","KOSPI","35550","744981676200.0","20250317","","3186.0","169901.0","1000.0","보통주"
"000215","DL우","KOSPI","19150","32289102250.0","20250317","","","","1050.0","우선주"
"000220","유유제약","KOSPI","4450","75793961950.0","20250317","","","5976.0","0.0","보통주"
"000225","유유제약1우","KOSPI","4730","10722578900.0","20250317","","","","0.0","우선주"
"000227","유유제약2우B","KOSPI","9590","3122120400.0","20250317","","","","0.0","우선주"
"000230","일동홀딩스","KOSPI","6190","71435076000.0","20250317","","","3450.0","100.0","보통주"
"000240","한국앤컴퍼니","KOSPI","16330","1550292469200.0","20250317","1975.0","5496.0","42407.0","700.0","보통주"
"000250","삼천당제약","KOSDAQ","190800","4475685657600.0","20250317","","","9689.0","0.0","보통주"
"000270","기아","KOSPI","98800","39290056041600.0","20250317","22168.0","25839.0","117495.0","5600.0","보통주"
"000300","DH오토넥스","KOSPI","1984","161600154944.0","20250317","","","","0.0","보통주"
"000320","노루홀딩스","KOSPI","14370","190993839870.0","20250317","2429.0","","39422.0","500.0","보통주"
"000325","노루홀딩스우","KOSPI","28500","6941431500.0","20250317","","","","505.0","우선주"
"000370","한화손해보험","KOSPI","4100","478629551500.0","20250317","1465.0","2443.0","20905.0","200.0","보통주"
"000390","삼화페인트","KOSPI","6450","175462375050.0","20250317","685.0","","13069.0","400.0","보통주"
"000400","롯데손해보험","KOSPI","1822","565432775040.0","20250317","966.0","","4064.0","0.0","보통주"
"000430","대원강업","KOSPI","3645","225990000000.0","20250317","494.0","","8211.0","110.0","보통주"
"000440","중앙에너비스","KOSDAQ","13960","86930734800.0","20250317","","","12862.0","320.0","보통주"
"000480","CR홀딩스","KOSPI","5300","248519597000.0","20250317","14.0","","14318.0","410.0","보통주"
"000490","대동","KOSPI","12450","319227810600.0","20250317","794.0","","19071.0","100.0","보통주"
"000500","가온전선","KOSPI","52800","873476472000.0","20250317","2907.0","3623.0","46434.0","0.0","보통주"
"000520","삼일제약","KOSPI","12490","270930719390.0","20250317","116.0","","8838.0","0.0","보통주"
"000540","흥국화재","KOSPI","3275","210394662375.0","20250317","4664.0","","20881.0","0.0","보통주"
"000545","흥국화재우","KOSPI","5300","4070400000.0","20250317","","","","0.0","우선주"
"000590","CS홀딩스","KOSPI","72000","83122704000.0","20250317","15091.0","","264028.0","500.0","보통주"
"000640","동아쏘시오홀딩스","KOSPI","98600","626002821800.0","20250317","9012.0","13565.0","157349.0","2200.0","보통주"
"000650","천일고속","KOSPI","38950","55668119000.0","20250317","","","13355.0","0.0","보통주"
"000660","SK하이닉스","KOSPI","206000","149968487190000.0","20250317","","36589.0","77752.0","1200.0","보통주"
"000670","영풍","KOSPI","485500","894310420000.0","20250317","","","2147176.0","10000.0","보통주"
"000680","LS네트웍스","KOSPI","4155","327426531480.0","20250317","145.0","","7619.0","0.0","보통주"
"000700","유수홀딩스","KOSPI","5490","142969547880.0","20250317","417.0","","13687.0","350.0","보통주"
"000720","현대건설","KOSPI","32950","3669172456750.0","20250317","4767.0","5651.0","72383.0","600.0","보통주"
"000725","현대건설우","KOSPI","48950","51627222350.0","20250317","","","","650.0","우선주"
"000760","이화산업","KOSPI","10450","29260000000.0","20250317","","","48270.0","0.0","보통주"
"000810","삼성화재","KOSPI","388000","18381436756000.0","20250317","42777.0","42897.0","379073.0","16000.0","보통주"
"000815","삼성화재우","KOSPI","289500","924084000000.0","20250317","","","","16005.0","우선주"
"000850","화천기공","KOSPI","28450","62590000000.0","20250317","4801.0","","157067.0","1300.0","보통주"
"000860","강남제비스코","KOSPI","24300","157950000000.0","20250317","2541.0","","93917.0","500.0","보통주"
"000880","한화","KOSPI","46900","3515564671500.0","20250317","3920.0","9354.0","111503.0","750.0","보통주"
"000885","한화우","KOSPI","41500","8259869500.0","20250317","","","","800.0","우선주"
"00088K","한화3우B","KOSPI","19250","373535489250.0","20250317","","","","800.0","우선주"
"000890","보해양조","KOSPI","438","60934616502.0","20250317","","","575.0","0.0","보통주"
"000910","유니온","KOSPI","5320","83053813080.0","20250317","468.0","","8302.0","125.0","보통주"
"000950","전방","KOSPI","19500","32760000000.0","20250317","","","166586.0","0.0","보통주"
"000970","한국주철관","KOSPI","6240","142275120000.0","20250317","789.0","","16304.0","400.0","보통주"
"000990","DB하이텍","KOSPI","47250","2097833283000.0","20250317","6241.0","","41655.0","580.0","보통주"
"001000","신라섬유","KOSDAQ","882","21412790280.0","20250317","","","607.0","0.0","보통주"
"001020","페이퍼코리아","KOSPI","697","124054369161.0","20250317","161.0","","1659.0","0.0","보통주"
"001040","CJ","KOSPI","131200","3828022137600.0","20250317","5806.0","10933.0","164443.0","3000.0","보통주"
"001045","CJ우","KOSPI","66300","149852784900.0","20250317","","","","3050.0","우선주"
"00104K","CJ4우(전환)","KOSPI","99100","418847339200.0","20250317","","","","3050.0","우선주"
"001060","JW중외제약","KOSPI","22100","514619053000.0","20250317","1504.0","3274.0","10784.0","400.0","보통주"
"001065","JW중외제약우","KOSPI","28350","9694310850.0","20250317","","","","425.0","우선주"
"001067","JW중외제약2우B","KOSPI","61000","12808353000.0","20250317","","","","400.0","우선주"
"001070","대한방직","KOSPI","5230","27719000000.0","20250317","","","36246.0","0.0","보통주"
"001080","만호제강","KOSPI","25450","105617500000.0","20250317","","","60830.0","0.0","보통주"
"001120","LX인터내셔널","KOSPI","25750","998070000000.0","20250317","3255.0","6243.0","63172.0","1200.0","보통주"
"001130","대한제분","KOSPI","129900","219531000000.0","20250317","60350.0","","603520.0","2500.0","보통주"
"001140","국보","KOSPI","2110","33456978680.0","20250317","","","2367.0","0.0","보통주"
"001200","유진투자증권","KOSPI","2585","250399690530.0","20250317","334.0","","11018.0","60.0","보통주"
"001210","금호전기","KOSPI","683","39254029631.0","20250317","","","574.0","0.0","보통주"
"001230","동국홀딩스","KOSPI","7620","242319680460.0","20250317","4500.0","","52450.0","600.0","보통주"
"001250","GS글로벌","KOSPI","2610","215413124040.0","20250317","337.0","","5113.0","25.0","보통주"
"001260","남광토건","KOSPI","8310","81708673320.0","20250317","610.0","","11506.0","0.0","보통주"
"001270","부국증권","KOSPI","26950","279468427700.0","20250317","6420.0","","85122.0","1500.0","보통주"
"001275","부국증권우","KOSPI","21900","65700000000.0","20250317","","","","1550.0","우선주"
"001290","상상인증권","KOSPI","419","45393253280.0","20250317","5.0","","2203.0","0.0","보통주"
"001340","백광산업","KOSPI","6850","307691087950.0","20250317","175.0","","4839.0","60.0","보통주"
"001360","삼성제약","KOSPI","1583","149058571057.0","20250317","","","1044.0","0.0","보통주"
"001380","SG글로벌","KOSPI","3145","141412229735.0","20250317","449.0","","3137.0","0.0","보통주"
"001390","KG케미칼","KOSPI","3860","264290494400.0","20250317","1446.0","","13412.0","120.0","보통주"
"001420","태원물산","KOSPI","3530","26828000000.0","20250317","","","3949.0","140.0","보통주"
"001430","세아베스틸지주","KOSPI","20350","729794121650.0","20250317","3576.0","2589.0","54525.0","1200.0","보통주"
"001440","대한전선","KOSPI","12750","2377203075000.0","20250317","519.0","544.0","6878.0","0.0","보통주"
"001450","현대해상","KOSPI","22900","2047260000000.0","20250317","7610.0","12936.0","77223.0","2063.0","보통주"
"001460","BYC","KOSPI","27100","169270665000.0","20250317","2836.0","","64090.0","300.0","보통주"
"001465","BYC우","KOSPI","12490","26901586500.0","20250317","","","","305.0","우선주"
"001470","삼부토건","KOSPI","417","95777320608.0","20250317","","","516.0","0.0","보통주"
"001500","현대차증권","KOSPI","5790","183615733980.0","20250317","1426.0","","29486.0","400.0","보통주"
"001510","SK증권","KOSPI","470","222117380370.0","20250317","6.0","","1523.0","2.0","보통주"
"001515","SK증권우","KOSPI","1726","6752999164.0","20250317","","","","7.0","우선주"
"001520","동양","KOSPI","618","147506750934.0","20250317","95.0","","4135.0","40.0","보통주"
"001525","동양우","KOSPI","4160","2569760960.0","20250317","","","","90.0","우선주"
"001527","동양2우B","KOSPI","8360","2579636840.0","20250317","","","","150.0","우선주"
"001530","DI동일","KOSPI","45950","890089133050.0","20250317","157.0","815.0","28841.0","250.0","보통주"
"001540","안국약품","KOSDAQ","6610","86210396200.0","20250317","114.0","","13382.0","220.0","보통주"
"001550","조비","KOSPI","10420","54103130380.0","20250317","","","10071.0","0.0","보통주"
"001560","제일연마","KOSPI","8960","88704000000.0","20250317","1536.0","","13916.0","300.0","보통주"
"001570","금양","KOSPI","12720","813662733120.0","20250317","","","3377.0","0.0","보통주"
"001620","케이비아이동국실업","KOSPI","495","55090050345.0","20250317","71.0","","1726.0","0.0","보통주"
"001630","종근당홀딩스","KOSPI","43300","216926981300.0","20250317","9744.0","","118253.0","1400.0","보통주"
"001680","대상","KOSPI","24500","848876612500.0","20250317","1862.0","3138.0","36679.0","800.0","보통주"
"001685","대상우","KOSPI","17590","24102222570.0","20250317","","","","810.0","우선주"
"001720","신영증권","KOSPI","77700","1277388000000.0","20250317","17818.0","","207062.0","4500.0","보통주"
"001740","SK네트웍스","KOSPI","4410","975835547820.0","20250317","","297.0","10690.0","200.0","보통주"
"001750","한양증권","KOSPI","12040","153251549360.0","20250317","2728.0","","37102.0","800.0","보통주"
"001755","한양증권우","KOSPI","12420","6520500000.0","20250317","","","","850.0","우선주"
"001770","SHD","KOSPI","14760","17931599280.0","20250317","91.0","","42198.0","100.0","보통주"
"001780","알루코","KOSPI","2185","211573838420.0","20250317","201.0","","2883.0","0.0","보통주"
"001790","대한제당","KOSPI","2760","247562560800.0","20250317","354.0","","5764.0","115.0","보통주"
"001795","대한제당우","KOSPI","2285","14813106600.0","20250317","","","","120.0","우선주"
"001800","오리온홀딩스","KOSPI","15300","958474956600.0","20250317","1423.0","2155.0","36513.0","750.0","보통주"
"001810","무림SP","KOSDAQ","1440","31878000000.0","20250317","","","8956.0","10.0","보통주"
"001820","삼화콘덴서","KOSPI","27800","288981000000.0","20250317","2028.0","2246.0","23733.0","500.0","보통주"
"001840","이화공영","KOSDAQ","1861","41469846596.0","20250317","","","2352.0","0.0","보통주"
"001940","KISCO홀딩스","KOSPI","19770","280267032600.0","20250317","6602.0","","84091.0","900.0","보통주"
"002020","코오롱","KOSPI","25500","321973863000.0","20250317","621.0","","78295.0","550.0","보통주"
"002025","코오롱우","KOSPI","15560","16748628400.0","20250317","","","","600.0","우선주"
"002030","아세아","KOSPI","266000","558489344000.0","20250317","54991.0","","626202.0","5000.0","보통주"
"002070","비비안","KOSPI","789","23507458110.0","20250317","","","2957.0","0.0","보통주"
"002100","경농","KOSPI","9190","179412464250.0","20250317","1059.0","","13544.0","450.0","보통주"
"002140","고려산업","KOSPI","2815","70204481375.0","20250317","137.0","","4348.0","25.0","보통주"
