"종목코드","기준일","지표","값"
"000020","20250320","PER","81.5333"
"000020","20250320","PSR","0.3683"
"000020","20250320","PCR","-42.805"
"000020","20250320","PBR","0.4226"
"000040","20250320","PER","-1.6385"
"000040","20250320","PSR","0.3528"
"000040","20250320","PCR","-1.7073"
"000040","20250320","PBR","0.9975"
"000050","20250320","PER","7.6809"
"000050","20250320","PSR","0.4583"
"000050","20250320","PCR","3.0646"
"000050","20250320","PBR","0.2444"
"000070","20250320","PER","4.6665"
"000070","20250320","PSR","0.1502"
"000070","20250320","PCR","2.0861"
"000070","20250320","PBR","0.1806"
"000080","20250320","PER","14.2683"
"000080","20250320","PSR","0.5259"
"000080","20250320","PCR","4.6383"
"000080","20250320","PBR","1.2078"
"000100","20250320","PER","190.8423"
"000100","20250320","PSR","5.0853"
"000100","20250320","PCR","192.5899"
"000100","20250320","PBR","4.9315"
"000120","20250320","PER","7.4652"
"000120","20250320","PSR","0.1653"
"000120","20250320","PCR","3.3046"
"000120","20250320","PBR","0.4973"
"000140","20250320","PER","2.2082"
"000140","20250320","PSR","0.0776"
"000140","20250320","PCR","0.7312"
"000140","20250320","PBR","0.1767"
"000150","20250320","PER","23.3132"
"000150","20250320","PSR","0.2895"
"000150","20250320","PCR","-13.4261"
"000150","20250320","PBR","0.4556"
"000180","20250320","PER","-24.9749"
"000180","20250320","PSR","0.6283"
"000180","20250320","PCR","449.5491"
"000180","20250320","PBR","0.1556"
"000210","20250320","PER","7.7618"
"000210","20250320","PSR","0.1312"
"000210","20250320","PCR","1.3222"
"000210","20250320","PBR","0.1588"
"000220","20250320","PER","7.2961"
"000220","20250320","PSR","0.5629"
"000220","20250320","PCR","2.6347"
"000220","20250320","PBR","0.6004"
"000230","20250320","PER","1.3177"
"000230","20250320","PSR","0.1116"
"000230","20250320","PCR","4.2673"
"000230","20250320","PBR","0.3986"
"000240","20250320","PER","4.3977"
"000240","20250320","PSR","1.1091"
"000240","20250320","PCR","11.5731"
"000240","20250320","PBR","0.3598"
"000250","20250320","PER","384.5272"
"000250","20250320","PSR","19.7525"
"000250","20250320","PCR","107.1469"
"000250","20250320","PBR","12.5479"
"000270","20250320","PER","3.9055"
"000270","20250320","PSR","0.3553"
"000270","20250320","PCR","3.0385"
"000270","20250320","PBR","0.7405"
"000300","20250320","PER","-1.3753"
"000300","20250320","PSR","4.4274"
"000300","20250320","PCR","-4.4889"
"000300","20250320","PBR","-1.2042"
"000320","20250320","PER","2.2924"
"000320","20250320","PSR","0.1508"
"000320","20250320","PCR","2.6433"
"000320","20250320","PBR","0.256"
"000370","20250320","PER","1.6134"
"000370","20250320","PCR","0.353"
"000370","20250320","PBR","0.1584"
"000390","20250320","PER","11.0393"
"000390","20250320","PSR","0.2723"
"000390","20250320","PCR","5.6847"
"000390","20250320","PBR","0.5419"
"000400","20250320","PER","4.4826"
"000400","20250320","PCR","0.8396"
"000400","20250320","PBR","0.5282"
"000430","20250320","PER","7.0649"
"000430","20250320","PSR","0.1648"
"000430","20250320","PCR","4.0902"
"000430","20250320","PBR","0.3388"
"000440","20250320","PER","-107.885"
"000440","20250320","PSR","1.7331"
"000440","20250320","PCR","-172.616"
"000440","20250320","PBR","1.5771"
"000480","20250320","PER","99.4078"
"000480","20250320","PSR","0.3065"
"000480","20250320","PCR","3.0681"
"000480","20250320","PBR","0.2986"
"000490","20250320","PER","-7.573"
"000490","20250320","PSR","0.2155"
"000490","20250320","PCR","-1.724"
"000490","20250320","PBR","0.47"
"000500","20250320","PER","33.2832"
"000500","20250320","PSR","0.4856"
"000500","20250320","PCR","21.3963"
"000500","20250320","PBR","2.2167"
