"종목코드","종목명","시장구분","종가","시가총액","기준일","EPS","선행EPS","BPS","주당배당금","종목구분"
"000020","동화약품","KOSPI","6900","192727143000.0","20250729","201.0","","13470.0","180.0","보통주"
"000040","KR모터스","KOSPI","503","30246832604.0","20250729","","","543.0","0.0","보통주"
"000050","경방","KOSPI","7530","206436983100.0","20250729","947.0","","30489.0","150.0","보통주"
"000070","삼양홀딩스","KOSPI","85000","740981975000.0","20250729","3651.0","","272260.0","3500.0","보통주"
"000075","삼양홀딩스우","KOSPI","84300","12720364200.0","20250729","","","","3550.0","우선주"
"000080","하이트진로","KOSPI","20200","1416698942200.0","20250729","1378.0","1877.0","16148.0","700.0","보통주"
"000087","하이트진로2우B","KOSPI","15960","18037002480.0","20250729","","","","750.0","우선주"
"000100","유한양행","KOSPI","120400","9628199814800.0","20250729","943.0","1811.0","28030.0","500.0","보통주"
"000105","유한양행우","KOSPI","104500","123408230000.0","20250729","","","","510.0","우선주"
"000120","CJ대한통운","KOSPI","89200","2034861084800.0","20250729","12088.0","11999.0","197983.0","800.0","보통주"
"000140","하이트진로홀딩스","KOSPI","10500","243671032500.0","20250729","2106.0","","25790.0","350.0","보통주"
"000145","하이트진로홀딩스우","KOSPI","13080","6158194800.0","20250729","","","","400.0","우선주"
"000150","두산","KOSPI","561000","9269871435000.0","20250729","","16928.0","83153.0","2000.0","보통주"
"000155","두산우","KOSPI","384000","1534641408000.0","20250729","","","","2050.0","우선주"
"000157","두산2우B","KOSPI","397000","354536086000.0","20250729","","","","2000.0","우선주"
"000180","성창기업지주","KOSPI","1593","111114298800.0","20250729","","","8292.0","0.0","보통주"
"000210","DL","KOSPI","52600","1102279498400.0","20250729","3948.0","6255.0","181662.0","1000.0","보통주"
"000215","DL우","KOSPI","26600","44850659000.0","20250729","","","","1050.0","우선주"
"000220","유유제약","KOSPI","4460","75964285460.0","20250729","468.0","","6671.0","100.0","보통주"
"000225","유유제약1우","KOSPI","4965","11255307450.0","20250729","","","","120.0","우선주"
"000227","유유제약2우B","KOSPI","10560","3437913600.0","20250729","","","","120.0","우선주"
"000230","일동홀딩스","KOSPI","8820","101786328000.0","20250729","5582.0","","11857.0","0.0","보통주"
"000240","한국앤컴퍼니","KOSPI","23250","2207244330000.0","20250729","3703.0","4033.0","47012.0","1000.0","보통주"
"000250","삼천당제약","KOSDAQ","231000","5418676032000.0","20250729","","","11442.0","200.0","보통주"
"000270","기아","KOSPI","105700","42033997202400.0","20250729","24893.0","21415.0","141812.0","6500.0","보통주"
"000300","DH오토넥스","KOSPI","1984","162944308992.0","20250729","5650.0","","426.0","0.0","보통주"
"000320","노루홀딩스","KOSPI","22550","299715455050.0","20250729","4836.0","3245.0","44812.0","550.0","보통주"
"000325","노루홀딩스우","KOSPI","30600","7452905400.0","20250729","","","","555.0","우선주"
"000370","한화손해보험","KOSPI","6120","714442159800.0","20250729","2121.0","2402.0","18660.0","0.0","보통주"
"000390","삼화페인트","KOSPI","6130","166757264970.0","20250729","654.0","","13171.0","350.0","보통주"
"000400","롯데손해보험","KOSPI","1783","553329658560.0","20250729","68.0","","2569.0","0.0","보통주"
"000430","대원강업","KOSPI","3580","221960000000.0","20250729","381.0","","8359.0","110.0","보통주"
"000440","중앙에너비스","KOSDAQ","15500","96520515000.0","20250729","","","12305.0","320.0","보통주"
"000480","CR홀딩스","KOSPI","5510","258366599900.0","20250729","","","14790.0","410.0","보통주"
