"종목코드","기준일","지표","값"
"000020","20250729","PER","-120.4545"
"000020","20250729","PSR","0.4086"
"000020","20250729","PCR","-12.2756"
"000020","20250729","PBR","0.4781"
"000040","20250729","PER","-4.4481"
"000040","20250729","PSR","1.7898"
"000040","20250729","PCR","-6.8743"
"000040","20250729","PBR","0.9572"
"000050","20250729","PER","7.8493"
"000050","20250729","PSR","0.514"
"000050","20250729","PCR","4.8459"
"000050","20250729","PBR","0.2748"
"000070","20250729","PER","8.8317"
"000070","20250729","PSR","0.2088"
"000070","20250729","PCR","3.8613"
"000070","20250729","PBR","0.2483"
"000080","20250729","PER","13.1663"
"000080","20250729","PSR","0.5468"
"000080","20250729","PCR","3.9517"
"000080","20250729","PBR","1.2344"
"000100","20250729","PER","177.3149"
"000100","20250729","PSR","4.5528"
"000100","20250729","PCR","189.5315"
"000100","20250729","PBR","4.4978"
"000120","20250729","PER","8.0144"
"000120","20250729","PSR","0.167"
"000120","20250729","PCR","3.359"
"000120","20250729","PBR","0.4942"
"000140","20250729","PER","2.4391"
"000140","20250729","PSR","0.0946"
"000140","20250729","PCR","0.7267"
"000140","20250729","PBR","0.2113"
"000150","20250729","PER","105.8205"
"000150","20250729","PSR","0.5159"
"000150","20250729","PCR","-13.5544"
"000150","20250729","PBR","0.7827"
"000180","20250729","PER","-29.2406"
"000180","20250729","PSR","0.8075"
"000180","20250729","PCR","34.7232"
"000180","20250729","PBR","0.1917"
"000210","20250729","PER","25.4568"
"000210","20250729","PSR","0.1969"
"000210","20250729","PCR","2.0538"
"000210","20250729","PBR","0.2353"
"000220","20250729","PER","9.8655"
"000220","20250729","PSR","0.5725"
"000220","20250729","PCR","2.9217"
"000220","20250729","PBR","0.5729"
"000230","20250729","PER","1.7194"
"000230","20250729","PSR","0.1577"
"000230","20250729","PCR","3.93"
"000230","20250729","PBR","0.4929"
"000240","20250729","PER","6.2688"
"000240","20250729","PSR","1.5424"
"000240","20250729","PCR","18.0183"
"000240","20250729","PBR","0.5036"
"000250","20250729","PER","-888.3075"
"000250","20250729","PSR","25.4279"
"000250","20250729","PCR","260.5133"
"000250","20250729","PBR","15.3885"
"000270","20250729","PER","4.4915"
"000270","20250729","PSR","0.3847"
"000270","20250729","PCR","3.3973"
"000270","20250729","PBR","0.7822"
"000300","20250729","PER","1.4023"
"000300","20250729","PSR","4.9527"
"000300","20250729","PCR","16.459"
"000300","20250729","PBR","-2.8955"
"000320","20250729","PER","3.8132"
"000320","20250729","PSR","0.2385"
"000320","20250729","PCR","4.0284"
"000320","20250729","PBR","0.3979"
