종목명,종목코드,현재가,시가총액,매출성장률,순이익률,부채비율,PER,PBR,평가점수,종합평가,평가이유
동화약품,000020,6130,171219911100.0,28.745499861534203,0.4517100451710045,54.269355240229025,81.5333,0.4226,50,보통,매출 성장률이 28.75%로 우수함; 순이익률이 0.45%로 개선 필요; 부채비율이 54.27%로 안정적임; PER이 81.53로 고평가 가능성; PBR이 0.42로 저평가 가능성
KR모터스,000040,388,23331552784.0,20.30075187969925,-88.75,161.34969325153375,-1.6431,0.8633,60,좋음,매출 성장률이 20.30%로 우수함; 순이익률이 -88.75%로 개선 필요; 부채비율이 161.35%로 보통 수준; PER이 -1.64로 저평가 가능성; PBR이 0.86로 적정 수준
경방,000050,6470,177376796900.0,0.9656925031766201,5.940095645607853,59.86045286993155,7.4843,0.2381,70,좋음,매출 성장률이 0.97%로 양호함; 순이익률이 5.94%로 양호함; 부채비율이 59.86%로 안정적임; PER이 7.48로 적정 수준; PBR이 0.24로 저평가 가능성
삼양홀딩스,000070,60300,516425541300.0,10.66367685072721,2.518785354459235,76.4617591141056,5.7701,0.1763,70,좋음,매출 성장률이 10.66%로 우수함; 순이익률이 2.52%로 개선 필요; 부채비율이 76.46%로 안정적임; PER이 5.77로 적정 수준; PBR이 0.18로 저평가 가능성
삼양홀딩스우,000075,60100,18273885800.0,,,,,,0,주의 필요,
하이트진로,000080,19670,1379528128370.0,3.1346718514403618,3.681902123730379,199.39103958242714,14.4001,1.219,60,좋음,매출 성장률이 3.13%로 양호함; 순이익률이 3.68%로 개선 필요; 부채비율이 199.39%로 보통 수준; PER이 14.40로 적정 수준; PBR이 1.22로 적정 수준
하이트진로2우B,000087,15170,17144193460.0,,,,,,0,주의 필요,
유한양행,000100,121600,9753422182400.0,11.231845077998925,2.66950382048554,36.79732180220394,177.0131,4.5742,40,보통,매출 성장률이 11.23%로 우수함; 순이익률이 2.67%로 개선 필요; 부채비율이 36.80%로 안정적임; PER이 177.01로 고평가 가능성; PBR이 4.57로 고평가 가능성
유한양행우,000105,110000,129903400000.0,,,,,,0,주의 필요,
CJ대한통운,000120,86300,1968705287200.0,2.964845044570399,2.214280998283375,130.5921052631579,7.3377,0.4889,50,보통,매출 성장률이 2.96%로 양호함; 순이익률이 2.21%로 개선 필요; 부채비율이 130.59%로 보통 수준; PER이 7.34로 적정 수준; PBR이 0.49로 저평가 가능성
