"종목코드","종목명","시장구분","종가","시가총액","기준일","EPS","선행EPS","BPS","주당배당금","종목구분"
"000020","동화약품","KOSPI","6130","171219911100.0","20250326","991.0","","13413.0","180.0","보통주"
"000040","KR모터스","KOSPI","388","23331552784.0","20250326","","","618.0","0.0","보통주"
"000050","경방","KOSPI","6470","177376796900.0","20250326","","","29623.0","125.0","보통주"
"000070","삼양홀딩스","KOSPI","60300","516425541300.0","20250326","22269.0","","257475.0","3500.0","보통주"
"000075","삼양홀딩스우","KOSPI","60100","18273885800.0","20250326","","","","3550.0","우선주"
"000080","하이트진로","KOSPI","19670","1379528128370.0","20250326","512.0","1861.0","15694.0","950.0","보통주"
"000087","하이트진로2우B","KOSPI","15170","17144193460.0","20250326","","","","1000.0","우선주"
"000100","유한양행","KOSPI","121600","9753422182400.0","20250326","1815.0","1963.0","27491.0","450.0","보통주"
"000105","유한양행우","KOSPI","110000","129903400000.0","20250326","","","","460.0","우선주"
"000120","CJ대한통운","KOSPI","86300","1968705287200.0","20250326","10357.0","13257.0","180690.0","500.0","보통주"
"000140","하이트진로홀딩스","KOSPI","8560","198649908400.0","20250326","41.0","","24228.0","550.0","보통주"
"000145","하이트진로홀딩스우","KOSPI","10140","4774013400.0","20250326","","","","600.0","우선주"
"000150","두산","KOSPI","323500","5345460622500.0","20250326","","10167.0","91241.0","2000.0","보통주"
"000155","두산우","KOSPI","145400","581085574800.0","20250326","","","","2050.0","우선주"
"000157","두산2우B","KOSPI","133900","119577788200.0","20250326","","","","2000.0","우선주"
"000180","성창기업지주","KOSPI","1255","87538258000.0","20250326","","","9003.0","0.0","보통주"
"000210","DL","KOSPI","34800","729264763200.0","20250326","","3186.0","169901.0","1000.0","보통주"
"000215","DL우","KOSPI","19140","32272241100.0","20250326","","","","1050.0","우선주"
"000220","유유제약","KOSPI","4400","74942344400.0","20250326","","","5976.0","0.0","보통주"
"000225","유유제약1우","KOSPI","4710","10677240300.0","20250326","","","","0.0","우선주"
"000227","유유제약2우B","KOSPI","9380","3053752800.0","20250326","","","","0.0","우선주"
"000230","일동홀딩스","KOSPI","6210","71665884000.0","20250326","","","3450.0","100.0","보통주"
"000240","한국앤컴퍼니","KOSPI","16450","1561684698000.0","20250326","1975.0","5496.0","42407.0","700.0","보통주"
"000250","삼천당제약","KOSDAQ","182600","4283334387200.0","20250326","","","9689.0","0.0","보통주"
"000270","기아","KOSPI","101400","40324004884800.0","20250326","22168.0","25788.0","117495.0","5600.0","보통주"
"000300","DH오토넥스","KOSPI","1984","161600154944.0","20250326","","","","0.0","보통주"
"000320","노루홀딩스","KOSPI","13970","185677379470.0","20250326","2429.0","","39422.0","500.0","보통주"
"000325","노루홀딩스우","KOSPI","28850","7026677150.0","20250326","","","","505.0","우선주"
"000370","한화손해보험","KOSPI","4170","486801275550.0","20250326","1465.0","2443.0","20905.0","200.0","보통주"
"000390","삼화페인트","KOSPI","6160","167573369040.0","20250326","685.0","","13069.0","400.0","보통주"
"000400","롯데손해보험","KOSPI","1780","552398649600.0","20250326","966.0","","4064.0","0.0","보통주"
"000430","대원강업","KOSPI","3700","229400000000.0","20250326","494.0","","8211.0","110.0","보통주"
"000440","중앙에너비스","KOSDAQ","13540","84315340200.0","20250326","","","12862.0","320.0","보통주"
"000480","CR홀딩스","KOSPI","5160","241954928400.0","20250326","14.0","","14318.0","410.0","보통주"
"000490","대동","KOSPI","10720","274869247360.0","20250326","794.0","","19071.0","100.0","보통주"
"000500","가온전선","KOSPI","47250","781662183750.0","20250326","2907.0","3623.0","46434.0","0.0","보통주"
"000520","삼일제약","KOSPI","11780","255529533580.0","20250326","116.0","","8838.0","0.0","보통주"
"000540","흥국화재","KOSPI","3175","203970397875.0","20250326","4664.0","","20881.0","0.0","보통주"
"000545","흥국화재우","KOSPI","5470","4200960000.0","20250326","","","","0.0","우선주"
"000590","CS홀딩스","KOSPI","71200","82199118400.0","20250326","15091.0","","264028.0","500.0","보통주"
"000640","동아쏘시오홀딩스","KOSPI","101000","641240213000.0","20250326","9012.0","13565.0","157349.0","2200.0","보통주"
"000650","천일고속","KOSPI","38650","55239353000.0","20250326","","","13355.0","0.0","보통주"
"000660","SK하이닉스","KOSPI","214000","155792506110000.0","20250326","","36833.0","77752.0","1200.0","보통주"
"000670","영풍","KOSPI","488500","899836540000.0","20250326","","","2147176.0","10000.0","보통주"
"000680","LS네트웍스","KOSPI","3790","298663430640.0","20250326","145.0","","7619.0","0.0","보통주"
"000700","유수홀딩스","KOSPI","5590","145573729080.0","20250326","417.0","","13687.0","350.0","보통주"
"000720","현대건설","KOSPI","34450","3836206104250.0","20250326","4767.0","5649.0","72383.0","600.0","보통주"
"000725","현대건설우","KOSPI","48150","50783467950.0","20250326","","","","650.0","우선주"
"000760","이화산업","KOSPI","10270","28756000000.0","20250326","","","48270.0","0.0","보통주"
"000810","삼성화재","KOSPI","359500","17031253901500.0","20250326","42777.0","42901.0","379073.0","16000.0","보통주"
"000815","삼성화재우","KOSPI","275000","877800000000.0","20250326","","","","16005.0","우선주"
"000850","화천기공","KOSPI","27250","59950000000.0","20250326","4801.0","","157067.0","1300.0","보통주"
"000860","강남제비스코","KOSPI","23900","155350000000.0","20250326","2541.0","","93917.0","500.0","보통주"
"000880","한화","KOSPI","42750","3204485921250.0","20250326","3920.0","9354.0","111503.0","750.0","보통주"
"000885","한화우","KOSPI","41200","8200159600.0","20250326","","","","800.0","우선주"
"00088K","한화3우B","KOSPI","17680","343070516880.0","20250326","","","","800.0","우선주"
"000890","보해양조","KOSPI","449","62464937921.0","20250326","","","575.0","0.0","보통주"
"000910","유니온","KOSPI","5110","79775373090.0","20250326","468.0","","8302.0","125.0","보통주"
"000950","전방","KOSPI","19290","32407200000.0","20250326","","","166586.0","0.0","보통주"
"000970","한국주철관","KOSPI","6210","141591105000.0","20250326","789.0","","16304.0","400.0","보통주"
"000990","DB하이텍","KOSPI","44700","1984616883600.0","20250326","6241.0","","41655.0","580.0","보통주"
"001000","신라섬유","KOSDAQ","1082","26268298280.0","20250326","","","607.0","0.0","보통주"
"001020","페이퍼코리아","KOSPI","709","126190168917.0","20250326","161.0","","1659.0","0.0","보통주"
"001040","CJ","KOSPI","126500","3690890247000.0","20250326","5806.0","11122.0","164443.0","3000.0","보통주"
"001045","CJ우","KOSPI","68000","153695164000.0","20250326","","","","3050.0","우선주"
"00104K","CJ4우(전환)","KOSPI","97000","409971664000.0","20250326","","","","3050.0","우선주"
"001060","JW중외제약","KOSPI","22600","526262018000.0","20250326","1504.0","3274.0","10784.0","400.0","보통주"
"001065","JW중외제약우","KOSPI","28400","9711408400.0","20250326","","","","425.0","우선주"
"001067","JW중외제약2우B","KOSPI","60600","12724363800.0","20250326","","","","400.0","우선주"
"001070","대한방직","KOSPI","5230","27719000000.0","20250326","","","36246.0","0.0","보통주"
"001080","만호제강","KOSPI","29250","121387500000.0","20250326","","","60830.0","0.0","보통주"
"001120","LX인터내셔널","KOSPI","25800","1000008000000.0","20250326","3255.0","6243.0","63172.0","1200.0","보통주"
"001130","대한제분","KOSPI","128400","216996000000.0","20250326","60350.0","","603520.0","2500.0","보통주"
"001140","국보","KOSPI","2110","33456978680.0","20250326","","","2367.0","0.0","보통주"
"001200","유진투자증권","KOSPI","2575","249431026350.0","20250326","334.0","","11018.0","60.0","보통주"
"001210","금호전기","KOSPI","634","36437854738.0","20250326","","","574.0","0.0","보통주"
"001230","동국홀딩스","KOSPI","7500","238503622500.0","20250326","4500.0","","52450.0","600.0","보통주"
"001250","GS글로벌","KOSPI","2700","222841162800.0","20250326","337.0","","5113.0","25.0","보통주"
"001260","남광토건","KOSPI","7830","76989038760.0","20250326","610.0","","11506.0","0.0","보통주"
"001270","부국증권","KOSPI","26950","279468427700.0","20250326","6420.0","","85122.0","1500.0","보통주"
"001275","부국증권우","KOSPI","21950","65850000000.0","20250326","","","","1550.0","우선주"
"001290","상상인증권","KOSPI","428","46368287360.0","20250326","5.0","","2203.0","0.0","보통주"
"001340","백광산업","KOSPI","6750","303199247250.0","20250326","175.0","","4839.0","60.0","보통주"
"001360","삼성제약","KOSPI","1552","146139546608.0","20250326","","","1044.0","0.0","보통주"
"001380","SG글로벌","KOSPI","2450","110162150350.0","20250326","449.0","","3137.0","0.0","보통주"
"001390","KG케미칼","KOSPI","3790","259497661600.0","20250326","1446.0","","13412.0","120.0","보통주"
"001420","태원물산","KOSPI","3295","25042000000.0","20250326","","","3949.0","140.0","보통주"
"001430","세아베스틸지주","KOSPI","20050","719035485950.0","20250326","3576.0","2589.0","54525.0","1200.0","보통주"
"001440","대한전선","KOSPI","12620","2352964926000.0","20250326","519.0","563.0","6878.0","0.0","보통주"
"001450","현대해상","KOSPI","22900","2047260000000.0","20250326","7610.0","11135.0","77223.0","2063.0","보통주"
"001460","BYC","KOSPI","26800","167396820000.0","20250326","2836.0","","64090.0","300.0","보통주"
"001465","BYC우","KOSPI","12460","26836971000.0","20250326","","","","305.0","우선주"
"001470","삼부토건","KOSPI","398","91413365952.0","20250326","","","516.0","0.0","보통주"
"001500","현대차증권","KOSPI","5850","361723307400.0","20250326","1426.0","","29486.0","400.0","보통주"
"001510","SK증권","KOSPI","466","220227019686.0","20250326","6.0","","1523.0","2.0","보통주"
"001515","SK증권우","KOSPI","1671","6537810894.0","20250326","","","","7.0","우선주"
"001520","동양","KOSPI","574","137004652162.0","20250326","95.0","","4135.0","40.0","보통주"
"001525","동양우","KOSPI","4090","2526519790.0","20250326","","","","90.0","우선주"
"001527","동양2우B","KOSPI","8400","2591979600.0","20250326","","","","150.0","우선주"
"001530","DI동일","KOSPI","44100","854253117900.0","20250326","157.0","","28841.0","250.0","보통주"
"001540","안국약품","KOSDAQ","6580","85819123600.0","20250326","114.0","","13382.0","220.0","보통주"
"001550","조비","KOSPI","10290","53428139310.0","20250326","","","10071.0","0.0","보통주"
"001560","제일연마","KOSPI","8520","84348000000.0","20250326","1536.0","","13916.0","300.0","보통주"
"001570","금양","KOSPI","9900","633275240400.0","20250326","","","3377.0","0.0","보통주"
"001620","케이비아이동국실업","KOSPI","493","54867464283.0","20250326","71.0","","1726.0","0.0","보통주"
"001630","종근당홀딩스","KOSPI","44300","221936842300.0","20250326","9744.0","4741.0","118253.0","1400.0","보통주"
"001680","대상","KOSPI","24050","833285001250.0","20250326","1862.0","3138.0","36679.0","800.0","보통주"
"001685","대상우","KOSPI","17600","24115924800.0","20250326","","","","810.0","우선주"
"001720","신영증권","KOSPI","81000","1331640000000.0","20250326","17818.0","","207062.0","4500.0","보통주"
"001740","SK네트웍스","KOSPI","4400","973622768800.0","20250326","","297.0","10690.0","200.0","보통주"
"001750","한양증권","KOSPI","12100","154015261400.0","20250326","2728.0","","37102.0","800.0","보통주"
"001755","한양증권우","KOSPI","12640","6636000000.0","20250326","","","","850.0","우선주"
"001770","SHD","KOSPI","15000","18223170000.0","20250326","91.0","","42198.0","100.0","보통주"
"001780","알루코","KOSPI","2200","213026290400.0","20250326","201.0","","2883.0","0.0","보통주"
"001790","대한제당","KOSPI","2800","251150424000.0","20250326","354.0","","5764.0","115.0","보통주"
"001795","대한제당우","KOSPI","2290","14845520400.0","20250326","","","","120.0","우선주"
"001800","오리온홀딩스","KOSPI","16150","1011723565300.0","20250326","1423.0","2155.0","36513.0","750.0","보통주"
"001810","무림SP","KOSDAQ","1454","32187925000.0","20250326","","","8956.0","10.0","보통주"
"001820","삼화콘덴서","KOSPI","27500","285862500000.0","20250326","2028.0","2246.0","23733.0","500.0","보통주"
"001840","이화공영","KOSDAQ","1403","31263941308.0","20250326","","","2352.0","0.0","보통주"
"001940","KISCO홀딩스","KOSPI","19480","276155882400.0","20250326","6602.0","","84091.0","900.0","보통주"
"002020","코오롱","KOSPI","23700","299246296200.0","20250326","621.0","","78295.0","550.0","보통주"
"002025","코오롱우","KOSPI","14810","15941335900.0","20250326","","","","600.0","우선주"
"002030","아세아","KOSPI","262500","551140800000.0","20250326","54991.0","","626202.0","5000.0","보통주"
"002070","비비안","KOSPI","799","24867897823.0","20250326","","","2957.0","0.0","보통주"
"002100","경농","KOSPI","9010","175898400750.0","20250326","1059.0","","13544.0","450.0","보통주"
"002140","고려산업","KOSPI","2680","66837659000.0","20250326","137.0","","4348.0","25.0","보통주"
"002150","도화엔지니어링","KOSPI","6530","220191600000.0","20250326","623.0","","8202.0","280.0","보통주"
"002170","삼양통상","KOSPI","47650","142950000000.0","20250326","7753.0","","155143.0","1500.0","보통주"
"002200","한국수출포장","KOSPI","2730","109200000000.0","20250326","498.0","","7743.0","80.0","보통주"
"002210","동성제약","KOSPI","3775","98531161750.0","20250326","","","1741.0","0.0","보통주"
"002220","한일철강","KOSPI","1890","50458199400.0","20250326","","","7010.0","30.0","보통주"
"002230","피에스텍","KOSDAQ","3965","76804718445.0","20250326","234.0","","7860.0","250.0","보통주"
"002240","고려제강","KOSPI","17290","466830000000.0","20250326","2648.0","","62163.0","350.0","보통주"
"002290","삼일기업공사","KOSDAQ","3705","45942000000.0","20250326","310.0","","5262.0","175.0","보통주"
"002310","아세아제지","KOSPI","7090","303327995900.0","20250326","1857.0","","20168.0","484.0","보통주"
"002320","한진","KOSPI","19310","288638696680.0","20250326","1805.0","3730.0","97491.0","600.0","보통주"
"002350","넥센타이어","KOSPI","5610","547916789970.0","20250326","1001.0","1345.0","16524.0","115.0","보통주"
"002355","넥센타이어1우B","KOSPI","2840","18460000000.0","20250326","","","","120.0","우선주"
"002360","SH에너지화학","KOSPI","460","51121515800.0","20250326","","","823.0","0.0","보통주"
"002380","KCC","KOSPI","273000","2426006583000.0","20250326","28917.0","42088.0","704004.0","8000.0","보통주"
"002390","한독","KOSPI","11380","156629005540.0","20250326","","","24611.0","300.0","보통주"
"002410","범양건영","KOSPI","1935","53173451700.0","20250326","","","2498.0","0.0","보통주"
"002420","세기상사","KOSPI","5040","28016593920.0","20250326","","","4867.0","0.0","보통주"
"002450","삼익악기","KOSPI","1162","105196923230.0","20250326","42.0","","3245.0","50.0","보통주"
"002460","HS화성","KOSPI","9630","97744500000.0","20250326","2302.0","","40704.0","500.0","보통주"
"002600","조흥","KOSPI","165300","99180000000.0","20250326","592.0","","249400.0","6000.0","보통주"
"002620","제일파마홀딩스","KOSPI","7670","122515632850.0","20250326","","","20810.0","50.0","보통주"
"002630","오리엔트바이오","KOSPI","1575","186768232875.0","20250326","109.0","","718.0","0.0","보통주"
"002680","한탑","KOSDAQ","735","23752847265.0","20250326","","","1681.0","0.0","보통주"
"002690","동일제강","KOSPI","1214","24644637040.0","20250326","","","7894.0","0.0","보통주"
"002700","신일전자","KOSPI","1511","107352804231.0","20250326","15.0","","1170.0","15.0","보통주"
"002710","TCC스틸","KOSPI","25700","673692012900.0","20250326","","496.0","8808.0","80.0","보통주"
"002720","국제약품","KOSPI","4670","98816415440.0","20250326","","","4194.0","0.0","보통주"
"002760","보락","KOSPI","1043","62475700000.0","20250326","14.0","","814.0","5.0","보통주"
"002780","진흥기업","KOSPI","741","107794563045.0","20250326","311.0","","1828.0","0.0","보통주"
"002785","진흥기업우B","KOSPI","3125","2678806250.0","20250326","","","","0.0","우선주"
"002787","진흥기업2우B","KOSPI","9630","2839001040.0","20250326","","","","0.0","우선주"
"002790","아모레G","KOSPI","21100","1676567598000.0","20250326","1296.0","","37035.0","245.0","보통주"
"002795","아모레G우","KOSPI","9220","59411559400.0","20250326","","","","250.0","우선주"
"00279K","아모레G3우(전환)","KOSPI","18060","128085132000.0","20250326","","","","667.0","우선주"
"002800","신신제약","KOSDAQ","5240","79493420000.0","20250326","308.0","","4106.0","60.0","보통주"
"002810","삼영무역","KOSPI","13530","249857806440.0","20250326","2840.0","","28483.0","600.0","보통주"
"002820","SUN&L","KOSPI","2855","35995808595.0","20250326","","","19587.0","0.0","보통주"
