"종목코드","기준일","지표","값"
"000020","20250326","PER","81.5333"
"000020","20250326","PSR","0.3683"
"000020","20250326","PCR","-42.805"
"000020","20250326","PBR","0.4226"
"000040","20250326","PER","-1.6431"
"000040","20250326","PSR","1.4582"
"000040","20250326","PCR","-4.4868"
"000040","20250326","PBR","0.8633"
"000050","20250326","PER","7.4843"
"000050","20250326","PSR","0.4466"
"000050","20250326","PCR","2.9861"
"000050","20250326","PBR","0.2381"
"000070","20250326","PER","5.7701"
"000070","20250326","PSR","0.1453"
"000070","20250326","PCR","1.9947"
"000070","20250326","PBR","0.1763"
"000080","20250326","PER","14.4001"
"000080","20250326","PSR","0.5308"
"000080","20250326","PCR","4.6811"
"000080","20250326","PBR","1.219"
"000100","20250326","PER","177.0131"
"000100","20250326","PSR","4.7168"
"000100","20250326","PCR","178.6341"
"000100","20250326","PBR","4.5742"
"000120","20250326","PER","7.3377"
"000120","20250326","PSR","0.1625"
"000120","20250326","PCR","3.2482"
"000120","20250326","PBR","0.4889"
"000140","20250326","PER","2.1878"
"000140","20250326","PSR","0.0768"
"000140","20250326","PCR","0.7245"
"000140","20250326","PBR","0.1751"
"000150","20250326","PER","17.6885"
"000150","20250326","PSR","0.2948"
"000150","20250326","PCR","17.3667"
"000150","20250326","PBR","0.4553"
"000180","20250326","PER","-24.3162"
"000180","20250326","PSR","0.6117"
"000180","20250326","PCR","437.6913"
"000180","20250326","PBR","0.1515"
"000210","20250326","PER","7.6846"
"000210","20250326","PSR","0.1299"
"000210","20250326","PCR","1.309"
"000210","20250326","PBR","0.1572"
"000220","20250326","PER","7.276"
"000220","20250326","PSR","0.5626"
"000220","20250326","PCR","2.9977"
"000220","20250326","PBR","0.5763"
"000230","20250326","PER","1.2866"
"000230","20250326","PSR","0.109"
"000230","20250326","PCR","4.1666"
"000230","20250326","PBR","0.3892"
"000240","20250326","PER","4.4518"
"000240","20250326","PSR","1.1227"
"000240","20250326","PCR","11.7156"
"000240","20250326","PBR","0.3643"
"000250","20250326","PER","-839.8695"
"000250","20250326","PSR","20.3002"
